"","spp","NomConc","Phase","fishID","DateTime","Intercept","Slope","Slope.hour","r2","BaroP","Salinity","Temp","Time.m","O2.sat","sat100.mgO2perL","sat100.mgO2permL","date","chamber","volume.ml","treatment","weight.g","length.mm","hPa","mmHg","round","notes","sat100.mgO2","mgO2","mgO2hpos","mass.specific.mgO2ghr","Contam","CalcConc"
"18","WS",0,"M4","ws_047",2021-06-29 15:04:49,0.40648631737012,-0.00457323993034756,-0.274394395820853,0.995967638012472,1009.9,4,18.99,49.4833333333333,96.11,9.02059179432905,0.00902059179432905,2021-06-29,7,21.359,"white",0.5879,47.95,1009.92,757.5,"3","",0.187367614219188,0.180079014026062,0.274394395820853,0.466736512707694,"Fipronil",0.01
"19","WS",0,"M8","ws_002",2021-06-28 10:38:47,0.371268571418075,-0.00219943975297758,-0.131966385178655,0.988421672692928,1010.2,4,19.15,83.3666666666667,99.08,8.99452439412381,0.00899452439412382,2021-06-28,2,21.3196,"white",0.36,41.73,1010.18,757.7,"1","",0.188521633491078,0.18678723446296,0.131966385178655,0.36657329216293,"Fipronil",0.01
"20","WS",0,"M3","ws_066",2021-06-30 14:47:31,0.326398937037218,-0.00449164728516597,-0.269498837109958,0.98227987317081,1011.9,4,18.9,32.9833333333333,95.57,9.05515696603582,0.00905515696603582,2021-06-30,2,21.3196,"white",0.9503,57.66,1011.92,759,"3","",0.184447208788274,0.176276197438953,0.269498837109958,0.283593430611342,"Fipronil",0.01
"21","WS",0,"M9","ws_104",2021-07-02 09:47:33,0.416325531005498,-0.00253067949244719,-0.151840769546831,0.989775951828615,1014.2,4,18.21,87.65,99.66,9.2033172827134,0.0092033172827134,2021-07-02,8,21.6943,"white",0.5011,46.25,1014.18,760.7,"1","",0.195047743836002,0.194384581506959,0.151840769546831,0.303014906299803,"Fipronil",0.01
"22","WS",0,"M10","ws_029",2021-06-29 10:24:35,0.476539306972741,-0.00257648148425171,-0.154588889055102,0.996128413676337,1009.9,4,18.3,111.883333333333,97.99,9.14677688374175,0.00914677688374175,2021-06-29,5,21.4825,"white",0.5604,47.5,1009.92,757.5,"1","",0.191369780639333,0.187523248048483,0.154588889055102,0.275854548635086,"Fipronil",0.01
"23","WS",0,"M9","ws_019",2021-06-28 16:59:19,0.336888348120692,-0.00114504102731532,-0.0687024616389191,0.945284501900508,1010.2,4,19.18,131.4,98.03,8.98914224065476,0.00898914224065476,2021-06-28,3,21.4652,"white",0.4531,46.16,1010.18,757.7,"3","",0.188880755674862,0.185159804788067,0.0687024616389191,0.151627591346103,"Fipronil",0.01
"24","WS",0,"M5","ws_094",2021-07-01 15:09:44,0.37588733792207,-0.00286765314744361,-0.172059188846616,0.981017844219068,1014.8,4,18.77,65.9833333333333,100.63,9.10539185036849,0.00910539185036849,2021-07-01,6,20.7109,"white",0.4988,45.43,1014.85,761.2,"3","",0.184039090618833,0.185198536889732,0.172059188846616,0.344946248690089,"Fipronil",0.01
"25","WS",0,"M9","ws_079",2021-07-01 09:54:26,0.400088944847437,-0.00211514741616801,-0.126908844970081,0.978529878042226,1011.9,4,18.19,97.9833333333333,100.13,9.18573450510857,0.00918573450510857,2021-07-01,7,21.359,"white",0.4458,42.61,1014.85,761.2,"1","",0.192103102852237,0.192352836885945,0.126908844970081,0.284676637438494,"Fipronil",0.01
"26","WS",0,"M5","ws_047",2021-06-29 15:18:19,0.488425210833063,-0.00490786526302227,-0.294471915781336,0.994525545592163,1009.9,4,18.99,62.9833333333333,96.02,9.02059179432905,0.00902059179432905,2021-06-29,7,21.359,"white",0.5879,47.95,1009.92,757.5,"3","",0.187367614219188,0.179910383173264,0.294471915781336,0.500887762853098,"Fipronil",0.01
"27","WS",0,"M9","ws_002",2021-06-28 10:52:47,0.39090513431859,-0.00208895308735816,-0.125337185241489,0.991100208408158,1010.2,4,19.19,97.3666666666667,98.87,8.98734952075266,0.00898734952075266,2021-06-28,2,21.3196,"white",0.36,41.73,1010.18,757.7,"1","",0.188371251015168,0.186242655878696,0.125337185241489,0.348158847893026,"Fipronil",0.01
"28","WS",0,"M1","ws_047",2021-06-29 14:22:19,0.225229574650401,-0.00635578071134805,-0.381346842680883,0.996759463350779,1009.9,4,18.96,6.98333333333333,96.74,9.02601058623585,0.00902601058623585,2021-06-29,7,21.359,"white",0.5879,47.95,1009.92,757.5,"3","",0.187480168487764,0.181368314995062,0.381346842680883,0.648659368397488,"Fipronil",0.01
"29","WS",0,"M6","ws_066",2021-06-30 15:23:31,0.464884504046037,-0.00416393794918603,-0.249836276951162,0.988001621535412,1011.9,4,18.91,68.9833333333333,95.77,9.05334256677485,0.00905334256677485,2021-06-30,2,21.3196,"white",0.9503,57.66,1011.92,759,"3","",0.184410250745407,0.176609697138876,0.249836276951162,0.26290253283296,"Fipronil",0.01
"30","WS",0,"M5","ws_086",2021-07-01 12:22:04,0.371154289776257,-0.00298692455424677,-0.179215473254806,0.991439388660809,1014.8,4,18.46,61.9833333333333,99.77,9.1624080434604,0.0091624080434604,2021-07-01,6,20.7109,"white",0.4911,46.24,1014.85,761.2,"2","",0.185262058157161,0.184835955423399,0.179215473254806,0.364926640714328,"Fipronil",0.01
"31","WS",0,"M9","ws_059",2021-06-30 13:39:49,0.555061635424598,-0.0030738456119453,-0.184430736716718,0.96167742635932,1011.9,4,18.77,120.983333333333,96.46,9.07880595151022,0.00907880595151022,2021-06-30,3,21.4652,"white",0.7697,51.62,1011.92,759,"2","",0.18789042856948,0.18123910739812,0.184430736716718,0.23961379331781,"Fipronil",0.01
"32","WS",0,"M6","ws_094",2021-07-01 15:23:44,0.353461467102198,-0.00209335115095708,-0.125601069057425,0.990672915659439,1014.8,4,18.8,79.9833333333333,100.95,9.09990926062987,0.00909990926062987,2021-07-01,6,20.7109,"white",0.4988,45.43,1014.85,761.2,"3","",0.183928275966777,0.185675594588461,0.125601069057425,0.251806473651614,"Fipronil",0.01
"33","WS",0,"M1","ws_059",2021-06-30 11:46:49,0.224904876439467,-0.00509401411368662,-0.305640846821197,0.995802844811461,1011.9,4,18.69,7.98333333333333,97.39,9.09341645718828,0.00909341645718829,2021-06-30,3,21.4652,"white",0.7697,51.62,1011.92,759,"2","",0.18819280028974,0.183280968202178,0.305640846821197,0.397090875433542,"Fipronil",0.01
"34","WS",0,"M6","ws_047",2021-06-29 15:31:49,0.544425454770271,-0.00474867728391687,-0.284920637035012,0.993588730571184,1009.9,4,19,76.4833333333333,96.67,9.01878687600786,0.00901878687600786,2021-06-29,7,21.359,"white",0.5879,47.95,1009.92,757.5,"3","",0.187330124080247,0.181092030948375,0.284920637035012,0.484641328516776,"Fipronil",0.01
"35","WS",0,"M8","ws_047",2021-06-29 15:58:49,0.592055525178483,-0.0039694124905462,-0.238164749432772,0.994364940781063,1009.9,4,19.04,103.483333333333,96.91,9.01157392054562,0.00901157392054562,2021-06-29,7,21.359,"white",0.5879,47.95,1009.92,757.5,"3","",0.187180303061045,0.181396431696459,0.238164749432772,0.405110987298472,"Fipronil",0.01
"36","WS",0,"M8","ws_059",2021-06-30 13:25:49,0.567316563935265,-0.00359415850696901,-0.21564951041814,0.988414231281151,1011.9,4,18.74,106.983333333333,96.65,9.084279760763,0.009084279760763,2021-06-30,3,21.4652,"white",0.7697,51.62,1011.92,759,"2","",0.188003711788871,0.181705587443944,0.21564951041814,0.280173457734365,"Fipronil",0.01
"37","WS",0,"M8","ws_109",2021-07-02 13:17:32,0.519260724777574,-0.00276871897673854,-0.166123138604312,0.994510909877235,1014.2,4,18.64,117.983333333333,99.92,9.12370712632863,0.00912370712632863,2021-07-02,5,21.4825,"white",0.4161,44.28,1014.18,760.7,"2","",0.192203663806089,0.192049900875045,0.166123138604312,0.399238497006278,"Fipronil",0.01
"38","WS",0,"M12","ws_029",2021-06-29 10:50:35,0.534797068054778,-0.00251381183508001,-0.150828710104801,0.99670302607621,1009.9,4,18.38,137.883333333333,98.15,9.13197846520424,0.00913197846520424,2021-06-29,5,21.4825,"white",0.5604,47.5,1009.92,757.5,"1","",0.19106016664685,0.187525553563883,0.150828710104801,0.269144736089937,"Fipronil",0.01
"39","WS",0,"M3","ws_047",2021-06-29 14:51:19,0.357535658825974,-0.00495392942870133,-0.29723576572208,0.993828806964854,1009.9,4,18.99,35.9833333333333,95.54,9.02059179432905,0.00902059179432905,2021-06-29,7,21.359,"white",0.5879,47.95,1009.92,757.5,"3","",0.187367614219188,0.179011018625012,0.29723576572208,0.505588987450382,"Fipronil",0.01
"40","WS",0,"M7","ws_094",2021-07-01 15:37:44,0.386609630344049,-0.00212952300318123,-0.127771380190874,0.990003211881604,1014.8,4,18.84,93.9833333333333,101.15,9.09260870790778,0.00909260870790778,2021-07-01,6,20.7109,"white",0.4988,45.43,1014.85,761.2,"3","",0.183780716465103,0.185894194704452,0.127771380190874,0.256157538474086,"Fipronil",0.01
"41","WS",0,"M2","ws_094",2021-07-01 14:27:44,0.265907695136738,-0.00344016484555462,-0.206409890733277,0.992079751990022,1014.8,4,18.66,23.9833333333333,99.3,9.12554747994136,0.00912554747994136,2021-07-01,6,20.7109,"white",0.4988,45.43,1014.85,761.2,"3","",0.184446478219323,0.183155352871787,0.206409890733277,0.413812932504565,"Fipronil",0.01
"42","WS",0,"M4","ws_094",2021-07-01 14:55:44,0.312746532401649,-0.00246636173698505,-0.147981704219103,0.994994136357037,1014.8,4,18.72,51.9833333333333,99.85,9.11454319855009,0.00911454319855009,2021-07-01,6,20.7109,"white",0.4988,45.43,1014.85,761.2,"3","",0.184224058583414,0.183947722495539,0.147981704219103,0.296675429468931,"Fipronil",0.01
"43","WS",0,"M10","ws_002",2021-06-28 11:06:47,0.417008637625557,-0.00205999438649949,-0.12359966318997,0.991914527375699,1010.2,4,19.24,111.366666666667,99.1,8.97839588815716,0.00897839588815716,2021-06-28,2,21.3196,"white",0.36,41.73,1010.18,757.7,"1","",0.188183586457419,0.186489934179302,0.12359966318997,0.343332397749916,"Fipronil",0.01
"44","WS",0,"M9","ws_046",2021-06-29 16:12:19,0.380732394776407,-0.00168317898647322,-0.100990739188393,0.991718554416761,1009.9,4,19.05,116.983333333333,100.36,9.00977235918381,0.00900977235918381,2021-06-29,6,20.7109,"white",0.4463,46.27,1009.92,757.5,"3","",0.182579432949916,0.183236718908536,0.100990739188393,0.226284425696601,"Fipronil",0.01
"45","WS",0,"M9","ws_109",2021-07-02 13:33:32,0.504186072906062,-0.00232294341855544,-0.139376605113326,0.954963469779288,1014.2,4,18.64,133.983333333333,99.72,9.12370712632863,0.00912370712632863,2021-07-02,5,21.4825,"white",0.4161,44.28,1014.18,760.7,"2","",0.192203663806089,0.191665493547432,0.139376605113326,0.334959397051974,"Fipronil",0.01
"46","WS",0,"M13","ws_029",2021-06-29 11:03:35,0.582936157245302,-0.0026127881872871,-0.156767291237226,0.990784195574983,1009.9,4,18.44,150.883333333333,98.38,9.12090891918949,0.00912090891918949,2021-06-29,5,21.4825,"white",0.5604,47.5,1009.92,757.5,"1","",0.190828568498175,0.187737145688504,0.156767291237226,0.279741775940803,"Fipronil",0.01
"47","WS",0,"M4","ws_109",2021-07-02 12:13:32,0.324363310014252,-0.00245456246000343,-0.147273747600206,0.991248894047912,1014.2,4,18.54,53.9833333333333,99.76,9.14210621092794,0.00914210621092794,2021-07-02,5,21.4825,"white",0.4161,44.28,1014.18,760.7,"2","",0.192591266281892,0.192129047242816,0.147273747600206,0.353938350397034,"Fipronil",0.01
"48","WS",0,"M2","ws_012",2021-06-28 12:29:10,0.236145282484679,-0.0024326214935971,-0.145957289615826,0.985484095873727,1010.2,4,19.45,20.9833333333333,97.16,8.94097107597687,0.00894097107597687,2021-06-28,4,21.4921,"white",0.3681,41.1,1010.18,757.7,"2","",0.188869073008935,0.183505191335482,0.145957289615826,0.396515320879723,"Fipronil",0.01
"49","WS",0,"M6","ws_059",2021-06-30 12:57:49,0.476858506779173,-0.00372065177023116,-0.22323910621387,0.984613682162605,1011.9,4,18.72,78.9833333333333,96.55,9.08793238521177,0.00908793238521177,2021-06-30,3,21.4652,"white",0.7697,51.62,1011.92,759,"2","",0.18807930467815,0.181590568666754,0.22323910621387,0.290033917388423,"Fipronil",0.01
"50","WS",0,"M7","ws_016",2021-06-28 13:39:10,0.56138366366001,-0.00418382387679791,-0.251029432607874,0.998669385890886,1010.2,4,19.55,90.9833333333333,95.74,8.92325146740134,0.00892325146740134,2021-06-28,8,21.6943,"white",0.5867,50.7,1010.18,757.7,"2","",0.18834842267332,0.180324779867437,0.251029432607874,0.427866767697076,"Fipronil",0.01
"51","WS",0,"M10","ws_053",2021-06-30 10:20:39,0.601313030933147,-0.00394291474479027,-0.236574884687416,0.997555026380247,1011.9,4,18.52,105,98.19,9.12460975745435,0.00912460975745435,2021-06-30,5,21.4825,"white",0.5297,45.59,1011.92,759,"1","",0.19118612332599,0.187725654493789,0.236574884687416,0.446620511020231,"Fipronil",0.01
