spp,date,hatchdate,dph,staff,contaminant,treatment,group,targettempC,nomconclab,tank,fishID,nomconc,tl_mm,mass_g,Notes
WS,6/17/21,5/21/21,27,WJ/MRD,fip,green,G,15,0001ug,R3.4,12,1,28,0.105,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,green,G,15,0001ug,R3.4,13,1,25,0.101,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,green,G,15,0001ug,R3.4,14,1,26,0.102,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,green,G,15,0001ug,R3.4,15,1,25,0.08,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,green,G,15,0001ug,R3.4,16,1,22,0.065,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,yellow,G,15,0010ug,R1.2,1,10,20,0.042,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,yellow,G,15,0010ug,R1.2,2,10,24,0.088,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,yellow,G,15,0010ug,R1.2,3,10,30,0.158,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,yellow,G,15,0010ug,R1.2,4,10,27,0.138,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,yellow,G,15,0010ug,R1.2,5,10,25,0.076,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,yellow,G,15,0010ug,R1.2,6,10,24,0.101,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,yellow,G,15,0010ug,R1.2,7,10,24,0.069,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,yellow,G,15,0010ug,R1.2,8,10,22,0.043,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,yellow,G,15,0010ug,R3.4,9,10,25,0.089,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,yellow,G,15,0010ug,R3.4,10,10,28,0.123,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,yellow,G,15,0010ug,R3.4,11,10,28,0.118,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,yellow,G,15,0010ug,R3.4,12,10,29,0.138,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,yellow,G,15,0010ug,R3.4,13,10,23,0.057,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,yellow,G,15,0010ug,R3.4,14,10,23,0.046,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,yellow,G,15,0010ug,R3.4,15,10,25,0.101,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,yellow,G,15,0010ug,R3.4,16,10,31,0.15,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,red,G,15,0100ug,R1.2,1,100,23,0.083,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,red,G,15,0100ug,R1.2,2,100,22,0.094,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,red,G,15,0100ug,R1.2,3,100,20,0.058,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,red,G,15,0100ug,R1.2,4,100,21,0.06,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,red,G,15,0100ug,R1.2,5,100,27,0.1,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,red,G,15,0100ug,R1.2,6,100,23,0.083,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,red,G,15,0100ug,R1.2,7,100,21,0.061,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,red,G,15,0100ug,R1.2,8,100,24,0.093,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,red,G,15,0100ug,R3.4,9,100,25,0.08,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,red,G,15,0100ug,R3.4,10,100,28,0.132,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,red,G,15,0100ug,R3.4,11,100,31,0.165,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,red,G,15,0100ug,R3.4,12,100,29,0.129,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,red,G,15,0100ug,R3.4,13,100,28,0.11,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,red,G,15,0100ug,R3.4,14,100,26,0.1,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,red,G,15,0100ug,R3.4,15,100,27,0.119,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,red,G,15,0100ug,R3.4,16,100,22,0.044,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,pink,G,15,0500ug,R1.2,1,500,24,0.077,
